Country.of.Origin,Processing.Method,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Moisture,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Total.Cup.Points,Specialty_Grade
Guatemala,Washed / Wet,1310.64,2,5,0.1,7.5,7.67,7.33,7.5,7.33,7.5,82.33,1
Brazil,Natural / Dry,1100.0,0,2,0.12,7.58,7.5,7.42,7.5,7.5,7.42,82.33,1
Mexico,Washed / Wet,1300.0,0,0,0.11,8.0,7.75,7.33,7.33,7.08,7.67,82.33,1
Brazil,Washed / Wet,950.0,0,2,0.11,7.58,7.58,7.25,7.58,7.42,7.5,82.33,1
Colombia,Natural / Dry,442.0,0,0,0.0,7.83,7.58,7.33,7.25,7.58,7.42,82.33,1
Brazil,Washed / Wet,1100.0,2,10,0.09,7.58,7.5,7.25,7.42,7.67,7.33,82.25,1
Taiwan,Washed / Wet,1310.64,0,0,0.1,7.0,7.08,7.0,7.17,7.0,7.0,82.25,1
Guatemala,Washed / Wet,1450.0,0,2,0.11,7.67,7.5,7.25,7.67,7.42,7.42,82.25,1
Brazil,Natural / Dry,1.0,0,9,0.0,7.42,7.67,7.5,7.08,7.5,7.42,82.25,1
El Salvador,Washed / Wet,1500.0,0,0,0.12,7.58,7.67,7.5,7.67,7.83,8.42,82.25,1
Honduras,Washed / Wet,1350.0,0,2,0.11,7.58,7.5,7.42,7.58,7.42,7.42,82.25,1
Malawi,Washed / Wet,1180.0,0,0,0.13,7.58,7.42,7.33,7.42,7.58,7.5,82.25,1
Brazil,Natural / Dry,1100.0,0,0,0.11,7.75,7.58,7.42,7.42,7.33,7.33,82.25,1
Taiwan,Washed / Wet,650.0,0,0,0.11,7.5,7.5,7.5,7.5,7.5,7.5,82.25,1
Mexico,Washed / Wet,1338.0,0,4,0.12,7.58,7.58,7.42,7.42,7.42,7.42,82.25,1
United States (Hawaii),Natural / Dry,1310.64,0,1,0.0,7.33,7.42,7.5,7.67,7.5,7.42,82.25,1
Mexico,Washed / Wet,533.0,3,8,0.16,7.58,7.58,7.5,7.17,7.42,7.42,82.25,1
Guatemala,Washed / Wet,1390.8024,0,2,0.11,7.5,7.5,7.33,7.58,7.67,7.33,82.25,1
Mexico,Washed / Wet,1170.0,0,3,0.13,7.5,7.58,7.42,7.67,7.33,7.42,82.25,1
Mexico,Washed / Wet,1250.0,0,13,0.12,7.67,7.58,7.33,7.5,7.42,7.42,82.25,1
El Salvador,Washed / Wet,1310.64,2,5,0.0,7.75,7.33,7.33,7.5,7.5,7.5,82.25,1
Mexico,Washed / Wet,1100.0,0,0,0.11,7.33,7.58,7.42,7.67,7.33,7.5,82.25,1
Mexico,Washed / Wet,900.0,0,3,0.1,7.42,7.5,7.42,7.58,7.42,7.5,82.25,1
Colombia,Washed / Wet,1750.0,0,1,0.12,7.5,7.42,7.67,7.33,7.58,7.33,82.25,1
Colombia,Washed / Wet,1775.0,0,0,0.11,7.67,7.33,7.33,7.33,7.5,7.5,82.25,1
Brazil,Natural / Dry,1310.64,0,1,0.12,7.67,7.58,7.42,7.0,7.5,7.58,82.25,1
Colombia,Washed / Wet,1310.64,0,2,0.22,7.17,7.25,7.58,7.25,7.58,7.67,82.25,1
Brazil,Natural / Dry,934.0,0,5,0.11,7.42,7.42,7.5,7.42,7.42,7.5,82.17,1
Honduras,Washed / Wet,1500.0,0,2,0.11,7.5,7.5,7.17,7.42,7.5,7.5,82.17,1
Nicaragua,Washed / Wet,1000.0,0,1,0.1,7.5,7.5,7.33,7.42,7.5,7.42,82.17,1
"Tanzania, United Republic Of",Washed / Wet,1650.0,1,6,0.13,7.58,7.42,7.42,7.33,7.5,7.42,82.17,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,1,0.12,7.42,7.42,7.42,7.5,7.5,7.33,82.17,1
Brazil,Natural / Dry,1.0,0,1,0.0,6.92,7.58,7.42,7.33,7.83,7.5,82.17,1
Thailand,Washed / Wet,800.0,0,0,0.12,7.42,7.42,7.17,7.75,7.25,7.67,82.17,1
Honduras,Washed / Wet,1350.0,0,2,0.11,7.67,7.5,7.25,7.42,7.58,7.42,82.17,1
Guatemala,Washed / Wet,1500.0,0,4,0.09,7.42,7.42,7.5,7.5,7.42,7.5,82.17,1
Brazil,Natural / Dry,1310.64,0,1,0.12,7.58,7.5,7.42,7.25,7.5,7.42,82.17,1
"Tanzania, United Republic Of",Washed / Wet,1700.0,0,1,0.12,7.75,7.42,7.42,7.58,7.33,7.42,82.17,1
Mexico,Washed / Wet,1100.0,0,0,0.12,7.42,7.33,7.17,7.42,7.33,8.17,82.17,1
Mexico,Washed / Wet,1400.0,1,1,0.1,7.5,7.5,7.33,7.42,7.5,7.42,82.17,1
Taiwan,Other,1200.0,0,0,0.11,7.5,7.5,7.5,7.5,7.5,7.5,82.17,1
Taiwan,Washed / Wet,800.0,0,0,0.0,7.67,7.5,7.5,7.17,7.17,7.58,82.17,1
Colombia,Washed / Wet,1750.0,0,1,0.0,7.33,7.25,7.25,7.58,7.75,7.5,82.17,1
Mexico,Washed / Wet,1144.0,1,9,0.15,7.5,7.67,7.0,7.5,7.33,7.5,82.17,1
Guatemala,Washed / Wet,1350.0,0,2,0.12,7.25,7.75,7.0,7.75,8.17,7.75,82.17,1
Mexico,Washed / Wet,1000.0,0,4,0.12,7.5,7.58,7.25,7.5,7.5,7.33,82.17,1
Mexico,Washed / Wet,1200.0,0,1,0.1,7.0,7.67,7.5,7.5,7.42,7.5,82.17,1
Colombia,Washed / Wet,1800.0,0,0,0.08,7.58,7.67,7.42,7.17,7.17,7.75,82.17,1
Indonesia,Washed / Wet,1300.0,0,3,0.15,7.5,7.5,7.42,7.42,7.5,7.42,82.08,1
Colombia,Washed / Wet,1310.64,0,6,0.0,7.75,7.58,7.42,7.67,7.83,7.58,82.08,1
Brazil,Natural / Dry,894.0,0,3,0.11,7.42,7.58,7.42,7.5,7.42,7.25,82.08,1
Brazil,Natural / Dry,1.0,0,1,0.0,7.25,7.25,7.58,7.58,7.25,7.92,82.08,1
Costa Rica,Washed / Wet,1300.0,0,0,0.0,7.75,7.42,7.42,7.25,7.17,7.42,82.08,1
"Tanzania, United Republic Of",Washed / Wet,1500.0,0,5,0.12,7.42,7.33,7.42,7.42,7.5,7.58,82.08,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,3,0.12,7.42,7.5,7.5,7.33,7.33,7.5,82.08,1
Colombia,Washed / Wet,1310.64,1,0,0.11,7.5,7.42,7.42,7.42,7.67,7.42,82.08,1
Costa Rica,Washed / Wet,13.0,0,2,0.11,7.58,7.33,7.33,7.33,7.5,7.67,82.08,1
United States (Hawaii),Natural / Dry,1310.64,0,0,0.11,7.25,7.58,7.58,7.25,7.5,7.42,82.08,1
Mexico,Washed / Wet,1300.0,0,7,0.13,7.42,7.58,7.5,7.33,7.42,7.42,82.08,1
Mexico,Washed / Wet,1800.0,3,13,0.13,7.5,7.42,7.42,7.5,7.25,7.5,82.08,1
Mexico,Washed / Wet,1250.0,0,11,0.11,7.67,7.5,7.25,7.58,7.42,7.33,82.08,1
Vietnam,Natural / Dry,1040.0,0,2,0.12,7.67,8.0,7.17,7.08,7.67,7.08,82.08,1
Mexico,Washed / Wet,1250.0,0,1,0.11,7.58,7.42,7.25,7.75,7.33,7.42,82.08,1
United States (Hawaii),Washed / Wet,1310.64,0,2,0.1,7.33,7.5,7.33,7.58,7.08,7.83,82.08,1
Colombia,Washed / Wet,1600.0,1,5,0.08,7.67,7.42,7.67,7.33,7.25,7.58,82.08,1
Honduras,Washed / Wet,1600.0,0,1,0.12,7.5,7.5,7.17,7.5,7.5,7.42,82.0,1
Honduras,Natural / Dry,1600.0,0,7,0.1,7.5,7.5,7.25,7.33,7.42,7.5,82.0,1
Brazil,Natural / Dry,944.0,0,3,0.11,7.5,7.33,7.42,7.5,7.33,7.42,82.0,1
"Tanzania, United Republic Of",Washed / Wet,1650.0,0,20,0.13,7.67,7.33,7.33,7.42,7.42,7.42,82.0,1
Laos,Washed / Wet,1250.0,0,0,0.12,7.42,7.5,7.25,7.33,7.5,7.5,82.0,1
"Tanzania, United Republic Of",Washed / Wet,1350.0,0,3,0.12,7.42,7.42,7.33,7.58,7.33,7.42,82.0,1
Malawi,Washed / Wet,2500.0,0,1,0.13,7.5,7.42,7.33,7.58,7.33,7.5,82.0,1
Taiwan,Washed / Wet,600.0,0,0,0.09,7.33,7.5,7.17,7.42,7.5,7.33,82.0,1
Thailand,Washed / Wet,800.0,0,0,0.11,7.58,7.5,7.42,7.42,7.33,7.42,82.0,1
Costa Rica,Washed / Wet,1300.0,0,4,0.1,7.5,7.25,7.33,7.33,7.75,7.5,82.0,1
Honduras,Washed / Wet,1400.0,0,5,0.11,7.33,7.33,7.33,7.5,7.5,7.83,82.0,1
Colombia,Washed / Wet,1900.0,0,1,0.11,7.33,7.33,7.58,7.5,7.5,7.58,82.0,1
Taiwan,Washed / Wet,650.0,0,0,0.12,7.42,7.58,7.33,7.42,8.0,7.5,82.0,1
Brazil,Natural / Dry,1038.5,0,0,0.11,7.33,7.67,7.42,7.17,7.33,7.42,82.0,1
Mexico,Washed / Wet,940.0,0,1,0.12,7.67,7.33,7.25,7.5,7.42,7.42,82.0,1
Brazil,Natural / Dry,1000.0,0,1,0.12,7.42,7.5,7.33,7.5,7.33,7.5,82.0,1
Brazil,Semi-washed / Semi-pulped,1050.0,0,1,0.11,7.42,7.5,7.25,7.5,7.5,7.42,82.0,1
Guatemala,Natural / Dry,1310.64,0,3,0.11,7.33,7.33,7.33,7.5,7.67,7.67,82.0,1
Brazil,Semi-washed / Semi-pulped,950.0,0,2,0.12,7.58,7.5,7.17,7.5,7.5,7.42,82.0,1
Guatemala,Washed / Wet,1402.08,0,10,0.0,7.75,7.33,7.33,7.42,7.75,7.67,82.0,1
Colombia,Washed / Wet,1775.0,0,2,0.07,7.33,7.0,7.08,7.42,7.5,7.67,82.0,1
Guatemala,Washed / Wet,1901.0,0,1,0.1,7.58,7.5,7.25,7.58,7.58,7.5,81.92,1
Guatemala,Washed / Wet,1219.2,0,0,0.11,7.5,7.5,7.25,7.42,7.42,7.42,81.92,1
Honduras,Washed / Wet,1400.0,0,1,0.12,7.58,7.5,7.25,7.33,7.42,7.5,81.92,1
Brazil,Natural / Dry,1020.0,0,4,0.11,7.42,7.33,7.33,7.5,7.5,7.33,81.92,1
El Salvador,Washed / Wet,1250.0,0,2,0.11,7.67,7.58,7.33,7.5,7.5,7.67,81.92,1
Guatemala,Washed / Wet,1550.0,0,7,0.11,7.58,7.58,7.17,7.83,7.17,7.33,81.92,1
"Tanzania, United Republic Of",Washed / Wet,1877.0,0,4,0.12,7.33,7.33,7.33,7.42,7.5,7.58,81.92,1
Nicaragua,Washed / Wet,1310.64,3,4,0.12,7.58,7.42,7.25,7.17,7.5,7.67,81.92,1
Zambia,Washed / Wet,1250.0,1,3,0.0,7.67,7.08,7.42,7.33,7.75,7.42,81.92,1
Honduras,Washed / Wet,1310.64,0,0,0.11,7.42,7.33,7.33,7.58,7.33,7.5,81.92,1
Taiwan,Other,1000.0,0,0,0.11,7.5,7.5,7.42,7.25,7.5,7.5,81.92,1
Mexico,Washed / Wet,1300.0,0,6,0.12,7.58,7.5,7.25,7.58,7.5,7.25,81.92,1
Mexico,Semi-washed / Semi-pulped,981.0,2,7,0.13,7.5,7.5,7.25,7.25,7.5,7.5,81.92,1
Mexico,Washed / Wet,690.0,2,8,0.14,7.5,7.42,7.25,7.5,7.33,7.33,81.92,1
Mexico,Washed / Wet,1650.0,0,4,0.12,7.33,7.58,7.17,7.58,7.42,7.33,81.92,1
Mexico,Washed / Wet,1000.0,0,0,0.12,7.67,7.42,7.33,7.83,7.5,7.5,81.92,1
Brazil,Natural / Dry,1100.0,0,3,0.12,7.42,7.58,7.25,7.5,7.33,7.5,81.92,1
Colombia,Washed / Wet,1600.0,0,1,0.09,7.67,7.33,7.33,7.58,7.33,7.33,81.92,1
Guatemala,Washed / Wet,157.8864,1,1,0.1,7.42,7.5,7.25,7.5,7.33,7.42,81.83,1
Costa Rica,Pulped natural / honey,1900.0,1,4,0.0,7.25,7.33,7.5,7.33,7.67,7.42,81.83,1
Brazil,Natural / Dry,973.0,0,3,0.11,7.42,7.5,7.42,7.5,7.42,7.25,81.83,1
Indonesia,Other,1250.0,0,0,0.11,7.75,7.83,7.58,7.75,7.92,7.83,81.83,1
Guatemala,Washed / Wet,3280.0,2,6,0.1,7.58,7.5,7.33,7.42,7.58,7.25,81.83,1
Brazil,Natural / Dry,1.0,0,1,0.0,7.17,7.58,6.83,7.5,7.75,7.25,81.83,1
Brazil,Natural / Dry,1.0,0,0,0.0,7.58,7.0,6.92,6.92,7.67,7.5,81.83,1
Myanmar,Washed / Wet,4001.0,0,2,0.0,7.33,7.58,7.5,7.42,7.33,7.33,81.83,1
Mexico,Washed / Wet,1425.0,0,7,0.11,7.58,7.5,7.33,7.5,7.17,7.33,81.83,1
Honduras,Washed / Wet,1400.0,0,1,0.12,7.5,7.5,7.33,7.5,7.42,7.25,81.83,1
Costa Rica,Washed / Wet,1300.0,0,0,0.09,7.67,7.5,7.5,7.25,7.08,7.42,81.83,1
Taiwan,Washed / Wet,700.0,0,0,0.0,7.67,7.33,7.17,7.25,7.75,7.33,81.83,1
Indonesia,Other,1300.0,2,6,0.11,7.42,7.42,7.42,7.33,7.42,7.42,81.83,1
Malawi,Washed / Wet,1556.0,0,0,0.13,7.58,7.42,7.33,7.33,7.33,7.42,81.83,1
Brazil,Natural / Dry,1100.0,0,0,0.11,7.33,7.58,7.25,7.17,7.83,7.33,81.83,1
Honduras,Natural / Dry,1350.0,0,4,0.1,7.5,7.5,7.33,7.33,7.33,7.33,81.83,1
Mexico,Washed / Wet,1550.0,0,0,0.11,7.42,7.42,7.25,7.5,7.33,7.42,81.83,1
Colombia,Washed / Wet,1775.0,2,0,0.0,7.5,7.5,7.0,7.42,7.5,7.58,81.83,1
United States (Hawaii),Natural / Dry,1310.64,1,1,0.0,7.83,7.83,7.83,8.0,7.83,7.83,81.83,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,0,0.12,7.75,7.75,7.5,7.42,7.83,7.75,81.83,1
Guatemala,Washed / Wet,1310.64,0,1,0.11,7.83,7.67,7.33,7.33,7.67,7.83,81.83,1
Mexico,Washed / Wet,1500.0,0,2,0.12,7.83,7.33,7.25,7.58,7.25,7.33,81.83,1
Mexico,Semi-washed / Semi-pulped,1250.0,0,10,0.12,7.33,7.33,7.25,7.5,7.5,7.5,81.83,1
Brazil,Washed / Wet,925.0,0,2,0.02,7.33,7.67,7.25,7.5,7.5,7.25,81.83,1
Colombia,Washed / Wet,1700.0,0,0,0.05,7.58,7.5,7.17,7.58,7.33,7.33,81.83,1
United States (Hawaii),Washed / Wet,1310.64,3,12,0.02,7.25,7.58,7.83,7.67,7.75,7.75,81.83,1
Guatemala,Washed / Wet,1700.0,0,1,0.11,7.5,7.5,7.25,7.42,7.42,7.33,81.75,1
Vietnam,Washed / Wet,1040.0,0,0,0.12,7.0,7.08,7.33,7.5,7.5,7.33,81.75,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,4,0.12,7.42,7.42,7.42,7.42,7.33,7.33,81.75,1
Brazil,Natural / Dry,1310.64,0,1,0.1,7.17,7.25,7.17,7.25,7.42,8.25,81.75,1
Mexico,Washed / Wet,774.0,2,9,0.13,7.5,7.5,7.33,7.42,7.25,7.25,81.75,1
Mexico,Washed / Wet,1250.0,0,23,0.13,7.42,7.5,7.17,7.67,7.33,7.42,81.75,1
Mexico,Washed / Wet,1100.0,0,1,0.11,7.42,7.5,7.33,7.58,7.33,7.33,81.75,1
Mexico,Washed / Wet,1550.0,10,14,0.12,7.33,7.42,7.33,7.67,7.42,7.25,81.75,1
Mexico,Washed / Wet,1650.0,0,1,0.12,7.5,7.42,7.25,7.33,7.67,7.25,81.75,1
Colombia,Washed / Wet,1750.0,0,1,0.0,7.33,7.42,7.33,7.33,7.5,7.67,81.75,1
Colombia,Washed / Wet,1775.0,0,0,0.08,7.42,7.58,6.92,7.08,7.25,8.0,81.75,1
Brazil,Natural / Dry,890.0,0,5,0.11,7.42,7.5,7.25,7.5,7.5,7.25,81.67,1
Guatemala,Washed / Wet,1700.0,0,1,0.1,7.42,7.42,7.08,7.42,7.33,7.42,81.67,1
Guatemala,Washed / Wet,1219.2,0,3,0.12,7.42,7.33,7.17,7.67,7.33,7.42,81.67,1
Honduras,Washed / Wet,1450.0,0,2,0.11,7.58,7.5,7.33,7.33,7.42,7.25,81.67,1
"Tanzania, United Republic Of",Washed / Wet,1800.0,0,1,0.0,7.17,7.33,7.33,7.42,7.5,7.33,81.67,1
Nicaragua,Washed / Wet,1310.64,0,1,0.1,7.58,7.5,7.25,7.25,7.5,7.25,81.67,1
Colombia,Washed / Wet,1310.64,0,1,0.0,7.75,7.75,7.75,7.67,5.25,7.83,81.67,1
Brazil,Natural / Dry,1.0,0,0,0.0,7.25,7.75,6.92,7.42,7.5,7.58,81.67,1
"Tanzania, United Republic Of",Washed / Wet,1500.0,0,0,0.12,7.42,7.33,7.25,7.42,7.5,7.42,81.67,1
"Tanzania, United Republic Of",Washed / Wet,1700.0,0,7,0.12,7.33,7.33,7.5,7.25,7.42,7.33,81.67,1
Brazil,Washed / Wet,1260.0,0,2,0.1,7.25,7.42,7.25,7.5,7.5,7.42,81.67,1
Indonesia,Semi-washed / Semi-pulped,1310.64,0,0,0.11,7.17,7.42,7.33,7.42,7.33,7.42,81.67,1
Honduras,Natural / Dry,1400.0,0,5,0.1,7.5,7.33,7.5,7.5,7.17,7.17,81.67,1
Costa Rica,Washed / Wet,1850.0,0,3,0.11,7.5,7.17,7.17,7.17,7.5,7.08,81.67,1
Mexico,Washed / Wet,1310.64,0,4,0.0,7.42,7.42,7.67,8.0,7.58,7.5,81.67,1
Taiwan,Semi-washed / Semi-pulped,150.0,0,0,0.11,7.5,7.5,7.5,7.25,7.42,7.25,81.67,1
Taiwan,Washed / Wet,750.0,0,0,0.11,7.58,7.42,7.33,7.42,7.33,7.33,81.67,1
Mexico,Washed / Wet,1400.0,0,6,0.12,7.5,7.42,7.08,7.58,7.33,7.33,81.67,1
Guatemala,Washed / Wet,1752.6,0,4,0.11,7.5,7.67,7.33,7.33,7.33,7.33,81.67,1
Mexico,Washed / Wet,1650.0,1,13,0.13,7.25,7.67,7.58,7.67,7.67,7.58,81.67,1
Mexico,Washed / Wet,1400.0,0,4,0.11,7.67,7.25,7.17,7.75,7.5,7.25,81.67,1
Mexico,Washed / Wet,1200.0,0,2,0.11,7.5,7.42,7.33,7.42,7.42,7.42,81.67,1
Mexico,Washed / Wet,1400.0,0,2,0.11,7.58,7.42,7.25,7.58,7.25,7.17,81.67,1
Mexico,Semi-washed / Semi-pulped,940.0,0,4,0.11,7.75,7.58,7.25,7.17,7.58,7.33,81.67,1
United States (Hawaii),Washed / Wet,1310.64,1,1,0.1,7.42,7.33,7.33,7.33,7.17,7.83,81.67,1
Honduras,Washed / Wet,1200.0,0,3,0.11,7.5,7.42,7.08,7.42,7.5,7.33,81.58,1
Guatemala,Washed / Wet,190164.0,0,0,0.12,7.42,7.42,7.08,7.5,7.42,7.33,81.58,1
Taiwan,Washed / Wet,800.0,0,0,0.1,7.42,7.42,7.25,7.67,7.33,7.25,81.58,1
Costa Rica,Washed / Wet,13.0,0,1,0.12,7.58,7.42,7.5,7.17,7.08,7.58,81.58,1
"Tanzania, United Republic Of",Washed / Wet,1800.0,0,5,0.12,7.42,7.42,7.33,7.42,7.42,7.33,81.58,1
Malawi,Washed / Wet,1100.0,0,0,0.13,7.42,7.42,7.17,7.58,7.33,7.33,81.58,1
Taiwan,Semi-washed / Semi-pulped,850.0,0,0,0.0,7.33,7.17,7.08,7.08,8.33,8.25,81.58,1
Brazil,Washed / Wet,1260.0,0,3,0.12,7.42,7.42,7.33,7.33,7.5,7.25,81.58,1
Guatemala,Washed / Wet,1310.64,0,1,0.12,7.42,7.33,7.17,7.58,7.42,7.5,81.58,1
Mexico,Washed / Wet,1400.0,0,9,0.12,7.67,7.5,7.42,7.5,6.75,7.42,81.58,1
Mexico,Natural / Dry,1600.0,0,0,0.11,7.33,7.5,7.25,7.5,7.5,7.17,81.58,1
Mexico,Natural / Dry,1650.0,0,2,0.11,7.67,7.58,7.42,7.58,7.58,7.42,81.58,1
Thailand,Washed / Wet,1499.9208,0,0,0.01,7.08,7.33,7.58,7.58,7.17,7.5,81.58,1
Thailand,Washed / Wet,1310.64,0,0,0.2,7.33,7.33,7.17,7.5,7.58,7.33,81.58,1
Costa Rica,Washed / Wet,1600.2,0,1,0.0,7.25,7.17,7.33,7.33,7.5,7.75,81.58,1
Guatemala,Washed / Wet,1219.2,0,0,0.1,7.67,7.58,7.17,7.42,7.33,7.42,81.5,1
Nicaragua,Other,1100.0,0,3,0.11,7.5,7.42,7.33,7.33,7.25,7.33,81.5,1
Honduras,Washed / Wet,1400.0,0,5,0.1,7.5,7.5,7.33,7.42,7.17,7.25,81.5,1
Guatemala,Washed / Wet,1310.64,0,0,0.12,7.5,7.42,7.25,7.25,7.5,7.25,81.5,1
Taiwan,Natural / Dry,180.0,0,2,0.12,7.5,7.42,7.33,7.08,7.58,7.25,81.5,1
Myanmar,Washed / Wet,1219.2,0,4,0.0,7.25,7.42,7.25,7.5,7.33,7.33,81.5,1
Costa Rica,Washed / Wet,1200.0,1,2,0.12,7.83,7.33,7.08,7.08,7.33,7.5,81.5,1
Malawi,Washed / Wet,1599.0,0,0,0.12,7.67,7.42,6.92,7.5,7.5,7.17,81.5,1
Guatemala,Washed / Wet,1219.2,0,0,0.12,7.5,7.42,7.17,7.58,7.25,7.42,81.5,1
Taiwan,Washed / Wet,900.0,0,0,0.11,7.42,7.33,7.67,7.33,7.42,7.5,81.5,1
Brazil,Semi-washed / Semi-pulped,1200.0,1,1,0.0,7.58,7.5,7.5,7.67,7.67,7.83,81.5,1
Haiti,Washed / Wet,825.0,0,0,0.11,7.42,7.33,7.25,7.42,7.42,7.33,81.5,1
Taiwan,Other,600.0,0,0,0.11,7.5,7.42,7.25,7.25,7.33,7.33,81.5,1
Mexico,Washed / Wet,1150.0,0,2,0.13,7.33,7.33,7.17,7.42,7.5,7.5,81.5,1
Mexico,Washed / Wet,1600.0,0,5,0.12,7.58,7.42,7.25,7.42,7.33,7.33,81.5,1
Mexico,Washed / Wet,1100.0,0,10,0.12,7.42,7.25,7.17,7.42,7.17,8.0,81.5,1
Mexico,Semi-washed / Semi-pulped,1000.0,0,6,0.11,7.33,7.5,7.33,7.33,7.33,7.42,81.5,1
Mexico,Washed / Wet,1250.0,0,5,0.13,7.42,7.42,7.33,7.17,7.25,7.42,81.5,1
Mexico,Natural / Dry,1100.0,0,3,0.11,7.5,7.5,7.25,7.5,7.42,7.58,81.5,1
Indonesia,Washed / Wet,1400.0,0,0,0.12,7.75,7.17,7.17,7.33,7.58,7.33,81.5,1
Brazil,Semi-washed / Semi-pulped,125.0,0,2,0.12,7.5,7.42,7.17,7.42,7.5,7.33,81.5,1
Guatemala,Washed / Wet,1310.64,0,1,0.11,7.33,7.5,7.33,7.42,7.17,7.33,81.5,1
Colombia,Washed / Wet,1450.0,1,0,0.06,7.42,7.42,7.17,7.42,7.42,7.33,81.5,1
United States (Hawaii),Washed / Wet,1310.64,0,17,0.0,7.33,7.33,7.33,7.5,7.5,7.83,81.5,1
Mexico,Washed / Wet,1100.0,1,17,0.12,7.58,7.33,7.08,7.33,7.5,7.33,81.42,1
Guatemala,Washed / Wet,1371.6,0,0,0.1,7.42,7.33,7.08,7.58,7.33,7.25,81.42,1
Brazil,Natural / Dry,1100.0,0,2,0.11,7.33,7.5,7.5,7.33,6.83,7.42,81.42,1
Honduras,Washed / Wet,1400.0,0,1,0.12,7.5,7.33,7.17,7.25,7.5,7.42,81.42,1
Taiwan,Washed / Wet,110.0,0,0,0.12,7.83,7.75,7.42,7.17,7.08,7.08,81.42,1
Malawi,Washed / Wet,1422.0,0,0,0.12,7.58,7.17,7.33,7.42,7.08,7.42,81.42,1
Brazil,Natural / Dry,1100.0,0,0,0.0,7.25,7.5,7.42,7.17,7.33,7.33,81.42,1
Guatemala,Washed / Wet,1550.0,0,6,0.1,7.42,7.5,7.17,7.42,7.42,7.42,81.42,1
Mexico,Washed / Wet,1550.0,1,1,0.0,7.67,7.33,7.25,7.17,7.25,7.42,81.42,1
Peru,Washed / Wet,1310.64,1,5,0.1,7.42,7.42,7.17,7.33,7.42,7.42,81.42,1
Guatemala,Washed / Wet,1310.64,0,4,0.12,7.42,7.33,7.25,7.42,7.42,7.5,81.42,1
Mexico,Washed / Wet,763.0,1,8,0.13,7.42,7.33,7.25,7.17,7.25,7.42,81.42,1
Mexico,Washed / Wet,1100.0,0,1,0.13,7.42,7.42,7.25,7.25,7.5,7.33,81.42,1
Colombia,Natural / Dry,1750.0,0,0,0.11,7.5,7.42,7.25,7.17,7.17,7.75,81.42,1
Colombia,Washed / Wet,1880.0,0,2,0.16,7.75,7.33,7.42,7.0,7.33,7.25,81.42,1
United States (Hawaii),Washed / Wet,1310.64,0,10,0.01,7.83,7.0,7.0,7.58,7.58,7.5,81.42,1
Colombia,Washed / Wet,1310.64,0,0,0.0,7.5,7.33,7.33,7.17,7.33,7.42,81.33,1
Honduras,Washed / Wet,1500.0,0,3,0.11,7.5,7.5,7.0,7.17,7.5,7.33,81.33,1
Mexico,Washed / Wet,1130.0,0,0,0.12,7.67,7.42,7.0,7.42,7.58,7.08,81.33,1
Brazil,Natural / Dry,1100.0,0,14,0.11,7.25,7.33,7.33,7.33,7.33,7.42,81.33,1
Honduras,Washed / Wet,1350.0,0,4,0.09,7.58,7.42,7.17,7.42,7.17,7.17,81.33,1
Brazil,Other,1200.0,0,6,0.12,7.17,7.33,7.42,7.25,7.42,7.33,81.33,1
Philippines,Washed / Wet,1400.0,0,3,0.14,7.08,7.33,7.42,7.33,7.33,7.5,81.33,1
Malawi,Washed / Wet,1200.0,0,1,0.13,7.75,7.33,7.08,7.33,7.33,7.25,81.33,1
Honduras,Washed / Wet,1450.0,0,3,0.12,7.33,7.33,7.17,7.33,7.5,7.33,81.33,1
Mexico,Washed / Wet,1800.0,4,13,0.13,7.58,7.42,7.25,7.33,7.25,7.25,81.33,1
Mexico,Washed / Wet,1000.0,0,4,0.12,7.33,7.25,7.17,7.42,7.58,7.33,81.33,1
Brazil,Natural / Dry,1100.0,0,0,0.11,7.5,7.58,7.5,7.5,7.75,7.83,81.33,1
Taiwan,Natural / Dry,680.0,0,0,0.12,7.83,7.75,7.67,7.83,7.83,7.75,81.25,1
Brazil,Natural / Dry,1.0,0,1,0.0,7.17,7.42,7.17,7.08,6.92,8.17,81.25,1
Nicaragua,Washed / Wet,1100.0,0,4,0.1,7.08,7.5,7.33,7.17,7.42,7.25,81.25,1
Honduras,Washed / Wet,1400.0,0,1,0.12,7.42,7.17,7.17,7.5,7.33,7.25,81.25,1
Guatemala,Washed / Wet,1700.0,0,2,0.09,7.33,7.42,7.17,7.25,7.42,7.33,81.25,1
"Tanzania, United Republic Of",Washed / Wet,1700.0,0,5,0.13,7.33,7.17,7.17,7.5,7.25,7.42,81.25,1
Taiwan,Semi-washed / Semi-pulped,650.0,0,0,0.11,7.5,7.5,7.25,7.25,7.25,7.25,81.25,1
Guatemala,Washed / Wet,1524.0,0,4,0.11,7.5,7.33,7.5,7.58,7.0,7.25,81.25,1
Mexico,Washed / Wet,1500.0,0,1,0.12,7.42,7.42,7.33,7.33,7.5,7.42,81.25,1
Nicaragua,Washed / Wet,1200.0,0,7,0.09,7.33,7.5,7.17,7.17,7.58,7.17,81.17,1
